skill_name	category	keywords
library	knowledge	search,ask,ingest,browse,shelf,book,knowledge
office	orchestration	plan,execute,verify,brief,contract,delegate,manage
debug	troubleshooting	fix,debug,error,trace,diagnose,reproduce
debug-n-check	verification	debug,verify,test,console,runtime,bug,repro,logs
evolve	improvement	evolve,optimize,tune,upgrade,improve,benchmark
deploy	deployment	deploy,docker,config,setup,install,bootstrap
think	reasoning	think,judgment,decision,uncertainty,risk,context,gap
smart-plan	planning	plan,roadmap,phases,gates,execute,verify,delivery
checkpoint	memory	memory,checkpoint,handoff,lesson,reusable,pattern,onboarding
compact	context	compact,smart,handoff,memory,staging,topic,dedup,pre-native
command-center	operations	command,center,hub,cli,doctor,bootstrap,mcp,connector,plugin
command-creator	operations	command,creator,custom,new,command,scaffold
review	quality	review,audit,findings,regression,risk,tests,correctness
github	git	github,commit,push,branch,remote,conventional,merge,boundary
inject	context	inject,frontend,tauri,typescript,javascript,diagnostics,routing,arch-engine
mcp-builder	integration	mcp,server,connector,transport,stdio,http,tool,schema
repo-intake	intake	repo,intake,clone,scan,extract,practices,source,report,url
setup	bootstrap	setup,bootstrap,preflight,runtime,env,sop,run,stop,debug
skill-router	routing	router,choose,skill,route,ambiguity,canonical,owner
token-optimizer	context	token,optimizer,compact,budget,context,bloat,compression
web-search	research	web,search,external,sources,evidence,recency,retrieval
senior-call	quality	senior,review,cleanliness,principles,architecture
senior-call-backend	quality	senior,backend,review,cleanliness,api,database,performance
senior-call-frontend	quality	senior,frontend,review,cleanliness,ui,ux,accessibility
dead-code-checker	maintenance	dead,code,checker,unused,stale,unreachable
